alpha,phonon_freqs,ir_activities,ionic
0.03401013445306177,4.016471586720514,0.08168931020200264,0.2999680470756664
0.002850969846883158,3.887605410774121,0.006311654262282101,0.0247387647244569
0.03075081562607006,3.5313112232401513,0.05353548710183397,0.2543132184018061
0.02275292381052607,2.755392921480459,0.021303020776321225,0.16621617310133838
0.33591418423943553,2.4380741812443247,0.23162784335484837,2.3083204422506296
0.46526818717696034,2.2490917637719408,0.2622203718355982,3.0707979601813267
0.5046331098089347,2.079632190634424,0.23382298607799906,3.2026782087486407
0.14223560721522646,2.0336707697261187,0.0623239656843172,0.892674135624958
0.16083871312929882,1.5673011873879714,0.0367465760261409,0.8861579096771846
0.1622911897190622,1.0188379384951798,0.0126328938653956,0.7209278375756829
0.09123913334086006,1.0022960504442775,0.006817361620021601,0.40199759805819046
0.14070972715961402,0.9970130778462072,0.0103757951973341,0.6183279038315278
0.18159786148348117,0.9201781906386209,0.01095811116040592,0.7666391525823296
0.039500396977008016,0.800604081794174,0.0016830270365341532,0.1555444994147378
0.3487735470060312,0.5738689505255512,0.00646428491253749,1.1627710200840813
